date,pnl,open,high,low,close
2021-02-24,60.0,14755.15,14848.0,14714.5,14755.05
2021-02-25,-291.75,15078.0,15180.9,15050.35,15096.5
2021-02-26,-340.5,14948.0,14949.95,14521.65,14565.25
2021-03-01,347.25,14709.95,14839.45,14658.5,14820.5
2021-03-02,-410.25,14845.0,14989.75,14776.2,14983.05
2021-03-03,1545.0,15062.0,15318.0,15034.55,15299.95
2021-03-04,1272.0,15047.95,15235.0,14992.1,15108.0
2021-03-05,-1467.75,14970.0,15098.1,14861.85,14979.1
2021-03-08,151.5,15001.2,15140.0,14927.15,14977.45
2021-03-09,-671.25,15075.2,15179.85,14953.25,15140.25
2021-03-10,-80.25,15251.1,15262.15,15131.05,15205.0
2021-03-12,-756.0,15362.1,15375.0,14961.55,15036.4
2021-03-15,-1128.75,15050.0,15068.95,14771.0,14947.9
2021-03-16,370.5,15008.0,15082.2,14915.2,14974.2
2021-03-17,-325.5,14968.0,14981.15,14741.2,14755.1
2021-03-18,-1274.25,14868.25,14900.25,14506.5,14604.0
2021-03-19,1267.5,14499.8,14805.0,14371.3,14750.6
2021-03-22,-1041.75,14741.05,14779.9,14600.0,14756.0
2021-03-23,-1013.25,14752.1,14900.0,14713.55,14827.0
2021-03-24,-208.5,14733.75,14762.7,14535.0,14568.0
2021-03-26,313.5,14555.0,14675.0,14501.0,14622.2
2021-03-30,1001.25,14700.0,14949.0,14687.0,14914.0
2021-03-31,-660.0,14871.05,14876.0,14720.7,14765.95
2021-04-01,1096.5,14823.1,14975.0,14760.1,14937.0
2021-04-05,1270.5,14890.0,14899.85,14490.0,14706.6
2021-04-06,-192.0,14750.1,14849.0,14616.0,14765.0
2021-04-07,1243.5,14750.0,14950.0,14701.0,14884.65
2021-04-08,506.25,14939.8,15044.7,14873.25,14938.0
2021-04-09,-29.249999999999982,14901.1,14967.45,14810.0,14893.05
2021-04-12,-983.25,14689.7,14689.7,14282.0,14367.0
2021-04-13,-110.25,14388.5,14563.0,14304.1,14556.0
2021-04-15,-574.5,14574.0,14615.5,14374.25,14597.5
2021-04-16,84.0,14605.65,14733.35,14582.25,14621.3
2021-04-19,30.0,14399.0,14408.85,14213.0,14382.0
2021-04-20,-897.75,14502.3,14535.5,14225.55,14290.0
2021-04-22,410.25,14200.0,14434.0,14155.0,14405.3
2021-04-23,561.0,14335.05,14468.55,14263.55,14332.1
2021-04-26,149.25,14442.35,14552.45,14423.4,14487.2
2021-04-28,1524.0,14702.25,14890.8,14685.0,14846.0
2021-04-29,450.0,15010.0,15035.0,14812.3,14897.1
2021-04-30,-268.5,14802.0,14890.0,14660.75,14664.0
2021-05-03,85.5,14541.65,14744.8,14461.9,14696.9
2021-05-04,959.25,14708.25,14765.0,14510.75,14551.9
2021-05-05,478.5,14625.05,14698.1,14549.3,14695.0
2021-05-06,296.25,14717.95,14788.0,14657.45,14781.0
2021-05-07,-645.75,14835.0,14908.0,14803.1,14858.0
2021-05-10,-375.0,14968.25,15023.35,14939.05,14993.9
2021-05-11,332.25,14798.0,14939.5,14785.0,14875.0
2021-05-12,687.75,14842.1,14842.1,14662.95,14708.85
2021-05-14,357.0,14710.0,14755.95,14620.0,14717.5
2021-05-17,1767.0,14762.3,14960.0,14744.05,14955.4
2021-05-18,-412.5000000000164,15080.3,15175.0,15072.2,15151.0
2021-05-19,-785.25,15081.6,15157.8,15035.2,15049.85
2021-05-20,-579.0,15040.0,15084.85,14911.65,14938.0
2021-05-21,1281.75,15011.0,15224.75,14992.0,15224.75
2021-05-24,-54.0,15230.05,15258.9,15150.0,15190.1
2021-05-25,-48.0,15281.05,15299.4,15160.0,15232.2
2021-05-26,816.0,15255.2,15324.0,15197.2,15305.65
2021-05-27,636.0,15329.0,15365.4,15274.2,15340.35
2021-05-28,361.5000000000055,15435.05,15500.0,15420.0,15478.0
2021-05-31,675.75,15458.0,15599.7,15410.1,15571.05
2021-06-01,120.75,15612.5,15660.0,15546.1,15623.8
2021-06-02,-596.25,15584.0,15632.6,15502.4,15628.95
2021-06-03,-261.0,15689.9,15719.95,15635.7,15718.0
2021-06-04,-500.25,15714.95,15756.0,15654.0,15699.95
2021-06-07,567.7500000000218,15769.0,15807.85,15705.9,15783.75
2021-06-08,609.0,15787.0,15790.0,15701.1,15764.05
2021-06-09,213.75,15778.2,15814.65,15594.05,15667.8
2021-06-10,269.25,15682.2,15767.8,15656.95,15755.0
2021-06-11,-241.5,15809.0,15855.8,15760.1,15821.15
2021-06-14,891.0,15728.0,15848.1,15630.65,15836.0
2021-06-15,92.25,15866.6,15909.0,15853.95,15871.1
2021-06-16,-94.49999999999454,15859.0,15885.0,15766.15,15778.0
2021-06-17,-218.25,15671.05,15777.6,15626.0,15680.95
2021-06-18,-60.0,15758.0,15774.0,15465.1,15727.5
2021-06-21,1208.25,15548.0,15760.2,15509.5,15749.45
2021-06-22,51.75,15810.0,15876.35,15751.1,15757.0
2021-06-23,-342.0,15792.2,15864.6,15677.0,15692.05
2021-06-24,85.5,15722.5,15819.55,15687.25,15790.0
2021-06-25,110.25,15852.2,15900.0,15802.2,15878.0
2021-06-28,-495.0,15921.15,15930.0,15825.45,15863.0
2021-06-29,79.5,15843.1,15860.0,15758.7,15794.0
2021-06-30,501.0,15816.05,15876.2,15737.05,15749.45
2021-07-01,470.25,15765.1,15775.05,15696.0,15727.15
2021-07-02,390.75,15743.95,15754.95,15659.1,15747.2
2021-07-05,33.750000000000014,15757.0,16546.5,15757.0,15868.0
2021-07-06,696.75,15829.95,15930.6,15815.25,15835.0
2021-07-07,34.5,15826.0,15900.6,15788.8,15896.05
2021-07-08,-521.25,15852.1,15889.9,15694.05,15731.0
2021-07-09,-459.75,15700.05,15755.0,15641.05,15720.0
2021-07-12,86.25,15777.0,15811.9,15657.5,15708.5
2021-07-13,518.25,15798.25,15842.55,15758.25,15833.95
2021-07-14,872.25,15805.1,15893.25,15777.05,15859.0
2021-07-15,435.0,15879.0,15967.5,15866.55,15938.0
2021-07-16,-595.5,15911.1,15970.0,15890.0,15938.75
2021-07-19,-45.0,15770.0,15836.45,15705.95,15762.25
2021-07-20,-306.0,15711.0,15741.0,15586.0,15631.95
2021-07-22,854.25,15700.05,15828.8,15700.05,15820.5
2021-07-23,716.25,15850.0,15897.6,15763.2,15845.55
2021-07-26,-141.75,15781.5,15880.0,15781.0,15818.0
2021-07-27,-191.25,15840.05,15869.95,15693.05,15733.35
2021-07-28,1569.75,15774.95,15774.95,15510.0,15707.95
2021-07-29,788.25,15741.05,15812.4,15730.5,15780.2
2021-07-30,21.0,15735.2,15872.3,15735.2,15785.0
2021-08-02,-89.25,15885.0,15918.2,15841.0,15910.1
2021-08-03,1569.0,15947.0,16162.9,15912.55,16151.05
2021-08-04,-164.25,16200.0,16294.7,16188.0,16256.5
2021-08-05,1216.5,16280.0,16350.0,16220.0,16290.65
2021-08-06,690.75,16281.05,16333.0,16233.55,16267.0
2021-08-09,-80.25,16274.65,16325.0,16181.8,16264.0
2021-08-10,468.0,16259.9,16359.0,16209.5,16271.4
2021-08-11,-321.75,16308.0,16324.95,16185.65,16281.6
2021-08-12,1090.5,16308.25,16369.0,16287.55,16365.0
2021-08-13,857.25,16365.05,16534.85,16360.05,16520.05
2021-08-16,202.5,16499.0,16588.0,16461.85,16546.45
2021-08-17,-258.0,16543.1,16610.0,16483.7,16602.2
2021-08-18,-34.5,16668.0,16688.95,16547.5,16559.8
2021-08-20,-602.25,16400.0,16504.0,16342.0,16420.0
2021-08-23,69.0,16560.25,16565.95,16392.0,16494.0
2021-08-24,931.5,16555.4,16643.3,16495.05,16616.0
2021-08-25,42.0,16652.0,16713.75,16615.05,16635.85
2021-08-26,297.0,16612.1,16671.9,16572.3,16638.95
2021-08-27,1317.0,16639.7,16730.0,16574.05,16712.0
2021-08-30,966.0,16745.0,16960.0,16745.0,16952.0
2021-08-31,105.75,16892.0,17143.9,16892.0,17132.0
2021-09-01,-327.0,17150.0,17228.75,17083.0,17087.0
2021-09-02,1140.0,17138.9,17262.7,17072.1,17259.8
2021-09-03,470.25,17261.55,17342.45,17211.0,17332.0
2021-09-06,25.5,17379.0,17429.1,17361.0,17408.0
2021-09-07,1689.0,17372.1,17449.95,17300.0,17369.1
2021-09-08,-759.75,17397.9,17401.1,17276.25,17384.6
2021-09-09,-112.50000000003274,17330.0,17373.6,17301.0,17370.0
2021-09-13,889.5,17355.25,17393.1,17264.0,17362.0
2021-09-14,-240.0,17410.0,17434.7,17368.7,17386.9
2021-09-15,1224.0,17405.1,17545.35,17380.9,17535.2
2021-09-16,170.25,17541.0,17635.0,17501.0,17606.65
2021-09-17,840.75,17670.0,17800.0,17558.0,17605.0
2021-09-20,-354.75,17460.25,17618.2,17355.1,17356.45
2021-09-21,909.0,17378.0,17569.55,17335.5,17563.0
2021-09-22,725.25,17554.0,17618.45,17521.0,17566.0
2021-09-23,891.75,17661.35,17845.45,17635.1,17843.1
2021-09-24,-17.25,17894.95,17935.0,17820.0,17847.55
2021-09-27,158.25,18088.3,18088.3,17806.0,17862.0
2021-09-28,-90.0,17880.05,17903.9,17586.25,17730.95
2021-09-29,821.25,17669.0,17794.05,17613.05,17710.35
2021-09-30,-534.75,17697.3,17740.2,17580.5,17619.5
2021-10-01,244.5,17523.7,17562.3,17433.0,17525.75
2021-10-04,1809.75,17571.0,17745.0,17560.05,17710.0
2021-10-05,1199.25,17645.0,17840.0,17631.0,17837.05
2021-10-06,141.75,17838.7,17865.0,17603.0,17610.3
2021-10-07,345.0,17772.55,17884.0,17753.15,17820.0
2021-10-08,1169.25,17883.8,17940.0,17835.3,17913.0
2021-10-11,1095.75,17898.5,18059.6,17860.0,17975.35
2021-10-12,98.25,17919.0,18015.0,17862.6,18007.0
2021-10-13,1291.5,18050.0,18207.95,18042.0,18176.5
2021-10-14,240.75,18260.0,18365.9,18240.0,18356.7
2021-10-18,-68.25,18456.25,18543.25,18436.1,18490.85
2021-10-19,-243.00000000002183,18578.9,18594.0,18395.1,18441.5
2021-10-20,-637.5000000000218,18430.1,18466.8,18251.15,18320.0
2021-10-21,-919.4999999999892,18365.5,18366.0,18077.5,18239.0
2021-10-22,-316.5,18247.8,18318.0,18051.1,18138.85
2021-10-25,998.25,18220.0,18234.35,17986.6,18150.15
2021-10-26,705.0,18180.05,18350.0,18108.1,18350.0
2021-10-27,199.5,18308.0,18350.0,18181.0,18196.0
2021-10-28,-539.25,18194.7,18205.9,17849.3,17858.9
2021-10-29,310.5,17860.7,17944.0,17659.25,17745.2
2021-11-01,1183.5,17748.0,18037.75,17730.05,18017.0
2021-11-02,3.0,18010.05,18038.0,17861.0,17922.95
2021-11-03,-456.0,17961.05,18019.8,17770.0,17862.95
2021-11-08,2823.75,17947.85,18153.0,17852.0,18135.05
2021-11-09,-573.0,18130.0,18140.8,17993.7,18075.25
2021-11-10,383.25,17989.65,18086.0,17925.2,18012.0
2021-11-11,213.75,17985.0,17985.0,17807.1,17912.2
2021-11-12,1039.5,17737.65,18160.0,17737.65,18141.25
2021-11-15,460.5,18239.9,18410.0,18082.0,18131.0
2021-11-16,774.0,18120.0,18159.95,17978.4,17982.5
2021-11-17,940.5,17934.0,18028.8,17894.35,17895.35
2021-11-18,494.25,17890.0,17944.0,17692.1,17772.05
2021-11-22,-386.2499999999891,17797.75,17805.0,17301.55,17449.9
2021-11-23,435.75,17325.0,17550.0,17250.0,17491.0
2021-11-24,1008.0,17547.8,17605.0,17360.0,17366.7
2021-11-25,1285.5,17320.5,17558.0,17320.5,17534.05
2021-11-26,-1172.25,17415.5,17427.95,17015.05,17031.75
2021-11-29,-2442.0,17094.75,17207.85,16850.1,17097.95
2021-11-30,243.00000000000009,17089.75,17347.0,17000.0,17032.2
2021-12-01,-700.5,17118.9,17250.0,17100.5,17237.25
2021-12-02,981.0,17205.0,17444.45,17170.0,17439.9
2021-12-03,-394.5,17468.7,17515.0,17220.0,17252.5
2021-12-06,-354.0,17247.7,17255.55,16942.05,16950.0
2021-12-07,2224.5,17053.8,17308.95,17016.6,17226.85
2021-12-08,1078.5,17343.0,17527.45,17327.0,17512.0
2021-12-09,1018.5,17545.0,17590.9,17416.6,17557.0
2021-12-10,-1117.5,17532.0,17585.0,17435.45,17549.0
2021-12-13,-660.0,17637.65,17688.0,17404.25,17462.0
2021-12-14,209.25,17340.0,17424.0,17230.0,17350.0
2021-12-15,-17.250000000010914,17325.0,17379.5,17217.0,17255.0
2021-12-16,-1278.75,17390.0,17400.0,17233.0,17344.85
2021-12-17,685.5,17310.05,17310.05,17000.0,17024.5
2021-12-21,2024.25,16751.0,16955.0,16708.5,16814.5
2021-12-22,-365.25,16877.0,16985.0,16832.2,16977.05
2021-12-23,297.0,17075.0,17150.0,17040.55,17059.0
2021-12-24,350.24999999999994,17150.0,17160.0,16920.0,17002.5
2021-12-27,1374.75,16950.0,17129.0,16842.4,17120.0
2021-12-28,279.0,17175.0,17258.8,17160.5,17252.45
2021-12-29,201.75,17238.0,17287.0,17186.05,17199.6
