entry_time,exit_time,entry_price,exit_price,pnl,trades_per_day
2021-03-17 11:20:00,2021-03-17 12:20:00,14898.75,14877.05,-21.7,1
2021-03-18 09:40:00,2021-03-18 10:25:00,14846.15,14801.95,-44.2,1
2021-03-18 12:10:00,2021-03-18 13:00:00,14807.4,14766.65,-40.75,2
2021-03-19 10:20:00,2021-03-19 11:50:00,14469.5,14541.5,72.0,1
2021-03-19 12:40:00,2021-03-19 13:30:00,14581.2,14593.7,12.5,2
2021-03-22 10:10:00,2021-03-22 10:20:00,14741.95,14720.5,-21.45,1
2021-03-22 10:25:00,2021-03-22 10:40:00,14705.1,14700.9,-4.2,2
2021-03-22 11:50:00,2021-03-22 12:15:00,14698.6,14676.5,-22.1,3
2021-03-22 12:20:00,2021-03-22 12:35:00,14653.15,14631.45,-21.7,4
2021-03-23 09:30:00,2021-03-23 09:40:00,14827.7,14817.35,-10.35,1
2021-03-23 09:45:00,2021-03-23 10:15:00,14798.3,14783.35,-14.95,2
2021-03-23 11:05:00,2021-03-23 11:25:00,14829.2,14811.55,-17.65,3
2021-03-23 11:30:00,2021-03-23 11:35:00,14792.35,14750.35,-42.0,4
2021-03-23 11:40:00,2021-03-23 11:45:00,14745.65,14741.35,-4.3,5
2021-03-23 12:35:00,2021-03-23 13:30:00,14776.85,14798.55,21.7,6
2021-03-24 12:15:00,2021-03-24 12:55:00,14633.7,14625.1,-8.6,1
2021-03-24 13:00:00,2021-03-24 13:15:00,14621.65,14616.35,-5.3,2
2021-03-26 09:35:00,2021-03-26 11:15:00,14499.1,14497.45,-1.65,1
2021-03-26 11:40:00,2021-03-26 12:40:00,14564.45,14570.05,5.6,2
2021-03-26 13:10:00,2021-03-26 13:30:00,14543.95,14560.9,16.95,3
2021-03-30 09:30:00,2021-03-30 12:10:00,14690.95,14724.4,33.45,1
2021-03-30 13:00:00,2021-03-30 13:30:00,14744.5,14777.8,33.3,2
2021-03-31 11:25:00,2021-03-31 12:00:00,14733.85,14726.0,-7.85,1
2021-03-31 12:25:00,2021-03-31 13:25:00,14737.1,14700.95,-36.15,2
2021-04-01 09:30:00,2021-04-01 10:20:00,14789.7,14768.35,-21.35,1
2021-04-01 11:50:00,2021-04-01 13:30:00,14718.9,14813.35,94.45,2
2021-04-05 12:05:00,2021-04-05 13:30:00,14523.6,14608.3,84.7,1
2021-04-06 09:35:00,2021-04-06 10:35:00,14713.15,14711.1,-2.05,1
2021-04-06 11:05:00,2021-04-06 12:05:00,14738.7,14727.95,-10.75,2
2021-04-07 09:30:00,2021-04-07 12:10:00,14739.55,14852.6,113.05,1
2021-04-07 12:45:00,2021-04-07 13:30:00,14847.15,14817.0,-30.15,2
2021-04-08 09:30:00,2021-04-08 11:35:00,14927.05,14944.6,17.55,1
2021-04-08 12:50:00,2021-04-08 13:30:00,14938.15,14954.35,16.2,2
2021-04-09 10:10:00,2021-04-09 11:00:00,14908.2,14875.8,-32.4,1
2021-04-09 12:05:00,2021-04-09 12:45:00,14855.65,14878.05,22.4,2
2021-04-09 12:55:00,2021-04-09 13:25:00,14857.15,14865.2,8.05,3
2021-04-12 11:25:00,2021-04-12 11:35:00,14420.1,14383.85,-36.25,1
2021-04-12 13:00:00,2021-04-12 13:25:00,14341.45,14312.15,-29.3,2
2021-04-13 09:30:00,2021-04-13 10:50:00,14365.85,14379.8,13.95,1
2021-04-13 12:35:00,2021-04-13 13:30:00,14358.5,14337.2,-21.3,2
2021-04-15 09:30:00,2021-04-15 09:35:00,14563.1,14490.75,-72.35,1
2021-04-15 09:40:00,2021-04-15 10:00:00,14461.6,14483.35,21.75,2
2021-04-15 12:00:00,2021-04-15 13:30:00,14415.0,14427.3,12.3,3
2021-04-16 09:30:00,2021-04-16 11:30:00,14625.55,14681.7,56.15,1
2021-04-16 11:40:00,2021-04-16 12:00:00,14675.1,14647.15,-27.95,2
2021-04-16 12:50:00,2021-04-16 13:30:00,14672.9,14650.3,-22.6,3
2021-04-19 10:30:00,2021-04-19 11:35:00,14280.9,14253.5,-27.4,1
2021-04-19 12:25:00,2021-04-19 12:50:00,14268.1,14269.9,1.8,2
