,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator
2093,BSEFO,1147291,2,BANKEX,BANKEX24DEC59600PE,IO,BANKEX-IO,12436501147291,2922.3,0.05,900,0.05,15,1,-1,BANKEX,2024-12-30T00:00:00,59600,4,BANKEX 30DEC2024 PE 59600,1
2094,BSEFO,823973,2,SENSEX,SENSEX2511780800PE,IO,SENSEX-IO,12501700823973,4522.5,784.6,1000,0.05,20,1,-1,SENSEX,2025-01-17T00:00:00,80800,4,SENSEX 17JAN2025 PE 80800,1
2095,BSEFO,1165399,2,BANKEX,BANKEX25JAN57200CE,IO,BANKEX-IO,12502701165399,3465.9,640.75,900,0.05,15,1,-1,BANKEX,2025-01-27T00:00:00,57200,3,BANKEX 27JAN2025 CE 57200,1
2096,BSEFO,837087,2,SENSEX,SENSEX2512476800CE,IO,SENSEX-IO,12502400837087,4880.2,899.9,1000,0.05,20,1,-1,SENSEX,2025-01-24T00:00:00,76800,3,SENSEX 24JAN2025 CE 76800,1
2097,BSEFO,824218,2,SENSEX,SENSEX25FEB83700PE,IO,SENSEX-IO,12505900824218,7089.65,3146.1,1000,0.05,20,1,-1,SENSEX,2025-02-28T00:00:00,83700,4,SENSEX 28FEB2025 PE 83700,1
2098,BSEFO,1167955,2,SENSEX,SENSEX25JAN74600PE,IO,SENSEX-IO,12503101167955,687.6,60.6,1000,0.05,10,1,-1,SENSEX,2025-01-31T00:00:00,74600,4,SENSEX 31JAN2025 PE 74600,1
2099,BSEFO,1164174,2,SENSEX,SENSEX25JAN83200PE,IO,SENSEX-IO,12503101164174,6799.7,2452.35,1000,0.05,10,1,-1,SENSEX,2025-01-31T00:00:00,83200,4,SENSEX 31JAN2025 PE 83200,1
2100,BSEFO,1138333,2,SENSEX,SENSEX24DEC80700CE,IO,SENSEX-IO,12436201138333,107.65,0.05,1000,0.05,10,1,-1,SENSEX,2024-12-27T00:00:00,80700,3,SENSEX 27DEC2024 CE 80700,1
2101,BSEFO,825718,2,SENSEX,SENSEX2512483800PE,IO,SENSEX-IO,12502400825718,7471.5,2759,1000,0.05,20,1,-1,SENSEX,2025-01-24T00:00:00,83800,4,SENSEX 24JAN2025 PE 83800,1
2102,BSEFO,823883,2,SENSEX50,SENSEX5025FEB25100PE,IO,SENSEX50-IO,12505800823883,851,140.5,1800,0.05,60,1,-1,SNSX50,2025-02-27T00:00:00,25100,4,SENSEX50 27FEB2025 PE 25100,1
2103,BSEFO,822326,2,SENSEX,SENSEX2510382500PE,IO,SENSEX-IO,12500300822326,6492.5,1363.6,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,82500,4,SENSEX 03JAN2025 PE 82500,1
2104,BSEFO,822035,2,SENSEX,SENSEX2511781100CE,IO,SENSEX-IO,12501700822035,1325.8,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-17T00:00:00,81100,3,SENSEX 17JAN2025 CE 81100,1
2105,BSEFO,1167537,2,SENSEX,SENSEX24DEC74700PE,IO,SENSEX-IO,12436201167537,6.65,0.7,1000,0.05,10,1,-1,SENSEX,2024-12-27T00:00:00,74700,4,SENSEX 27DEC2024 PE 74700,1
