CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKABFRL26-DEC-2024,286.2500000,290.0000000,293.7000000,288.3000000,292.7500000,292.7500000,2.2700000,1196.0000000,54600.0000000,21.0000000,15833870.0000000
FUTSTKCROMPTON28-NOV-2024,382.1500000,387.0000000,394.4000000,381.4500000,392.9500000,392.9500000,2.8200000,15014.0000000,3571200.0000000,1984.0000000,1390725360.0000000
FUTSTKPAGEIND26-DEC-2024,44498.4500000,44529.0000000,45400.0000000,44491.1500000,45121.5000000,45121.5000000,1.4000000,1359.0000000,10080.0000000,672.0000000,452723394.7500000
FUTSTKCANFINHOME28-NOV-2024,820.7000000,824.7000000,843.4000000,822.5500000,838.7500000,838.7500000,2.1900000,3268.0000000,1476150.0000000,1514.0000000,1230926092.5000000
FUTSTKINFY28-NOV-2024,1831.8000000,1854.4000000,1911.4000000,1835.0000000,1898.5500000,1898.5500000,3.6400000,93921.0000000,16481600.0000000,41204.0000000,30897392960.0000000
FUTSTKNATIONALUM26-DEC-2024,245.7300000,248.8500000,256.2600000,244.6200000,253.6300000,253.6300000,3.2100000,5502.0000000,2107500.0000000,562.0000000,529794075.0000000
FUTSTKBHEL26-DEC-2024,229.0500000,229.4100000,237.6600000,227.8300000,235.7000000,235.7000000,2.9000000,4143.0000000,7620375.0000000,2903.0000000,1780320753.7500000
FUTSTKOBEROIRLTY26-DEC-2024,1886.0500000,1890.3500000,1965.6000000,1871.6000000,1945.6000000,1945.6000000,3.1500000,3019.0000000,1501850.0000000,4291.0000000,2885435122.5000000
FUTSTKBSOFT26-DEC-2024,548.2000000,549.2500000,566.3500000,549.2500000,565.2000000,565.2000000,3.1000000,1917.0000000,2109000.0000000,2109.0000000,1179518000.0000000
FUTSTKMFSL28-NOV-2024,1173.1000000,1172.7500000,1194.0500000,1150.5000000,1168.4500000,1168.4500000,-0.3900000,4693.0000000,1524800.0000000,1906.0000000,1777292640.0000000
FUTSTKJUBLFOOD28-NOV-2024,610.1000000,611.1000000,645.5500000,609.0500000,639.4000000,639.4000000,4.8000000,11621.0000000,7572500.0000000,6058.0000000,4769815750.0000000
FUTSTKASIANPAINT26-DEC-2024,2440.0000000,2437.7500000,2502.0000000,2436.7000000,2486.8500000,2486.8500000,1.9200000,10671.0000000,1861800.0000000,9309.0000000,4613391100.0000000
FUTSTKGLENMARK26-DEC-2024,1474.2500000,1468.0000000,1498.0000000,1461.0000000,1484.4000000,1484.4000000,0.6800000,416.0000000,411800.0000000,568.0000000,609119516.2500000
FUTSTKTCS26-DEC-2024,4089.6000000,4086.3000000,4272.8500000,4080.0500000,4260.3000000,4260.3000000,4.1700000,8053.0000000,1172675.0000000,6701.0000000,4926254200.0000000
FUTSTKABFRL28-NOV-2024,285.9500000,286.9500000,292.2000000,286.5000000,290.1000000,290.1000000,1.4500000,19974.0000000,915200.0000000,352.0000000,264487730.0000000
FUTSTKBEL26-DEC-2024,276.8000000,278.9500000,285.4500000,276.9000000,282.5500000,282.5500000,2.0700000,7207.0000000,13326600.0000000,4676.0000000,3759287797.5000000
FUTSTKPIIND26-DEC-2024,4141.6500000,4167.4000000,4189.2500000,4104.3000000,4139.0500000,4139.0500000,-0.0600000,1181.0000000,111000.0000000,888.0000000,459364437.5000000
FUTSTKM&MFIN26-DEC-2024,253.2000000,250.6000000,260.7000000,250.6000000,259.7500000,259.7500000,2.5800000,3707.0000000,3380000.0000000,1690.0000000,870959500.0000000
FUTSTKOFSS26-DEC-2024,11189.1000000,11312.4500000,11679.4000000,11291.5000000,11600.3500000,11600.3500000,3.6700000,1101.0000000,59300.0000000,1186.0000000,684836205.0000000
FUTSTKTRENT26-DEC-2024,6479.7500000,6476.4500000,6723.8000000,6476.4500000,6684.6000000,6684.6000000,3.1600000,4274.0000000,360800.0000000,3608.0000000,2391764700.0000000
FUTSTKLAURUSLABS28-NOV-2024,488.6500000,485.3500000,516.4000000,485.3500000,512.6000000,512.6000000,4.9000000,10901.0000000,10706600.0000000,6298.0000000,5429991930.0000000
FUTSTKHINDUNILVR26-DEC-2024,2394.8000000,2399.9000000,2462.9500000,2393.1000000,2455.6000000,2455.6000000,2.5300000,4318.0000000,976800.0000000,3256.0000000,2372893560.0000000
FUTSTKWIPRO26-DEC-2024,560.9500000,564.9000000,577.5000000,561.9500000,575.0500000,575.0500000,2.5100000,2830.0000000,4255500.0000000,2837.0000000,2435200125.0000000
FUTSTKLAURUSLABS26-DEC-2024,491.3000000,490.8000000,519.4500000,490.6000000,515.7000000,515.7000000,4.9600000,2755.0000000,5793600.0000000,3408.0000000,2951894960.0000000
FUTSTKNAUKRI26-DEC-2024,7567.5500000,7542.0000000,8060.0000000,7542.0000000,8033.4500000,8033.4500000,6.1500000,2242.0000000,244200.0000000,3256.0000000,1945959172.5000000
FUTSTKSHRIRAMFIN26-DEC-2024,2818.1000000,2772.0000000,2880.0000000,2772.0000000,2860.7000000,2860.7000000,1.5100000,5365.0000000,594750.0000000,3965.0000000,1693250190.0000000
FUTSTKLTIM26-DEC-2024,5955.4500000,5997.8500000,6183.0000000,5966.7500000,6159.0000000,6159.0000000,3.4100000,1388.0000000,252450.0000000,1683.0000000,1542395280.0000000
FUTSTKBIOCON26-DEC-2024,325.4000000,328.9000000,334.6500000,325.0000000,333.0500000,333.0500000,2.3500000,2452.0000000,3290000.0000000,1316.0000000,1086227875.0000000
FUTSTKMARICO28-NOV-2024,591.1000000,585.8500000,602.6500000,584.4000000,600.2500000,600.2500000,1.5400000,16714.0000000,2680800.0000000,2234.0000000,1597021440.0000000
FUTSTKM&MFIN28-NOV-2024,256.0500000,251.0500000,263.2500000,251.0500000,262.5000000,262.5000000,2.5100000,15144.0000000,5584000.0000000,2792.0000000,1454069500.0000000
FUTSTKGODREJPROP28-NOV-2024,2701.8000000,2723.0000000,2863.5000000,2692.9500000,2852.2500000,2852.2500000,5.5600000,14828.0000000,2324250.0000000,10330.0000000,6543409083.7500000
